,iid,title,year,Animation,Comedy,Children's,Fantasy,Adventure,Romance,Drama,Action,Crime,Thriller,Horror,Sci-Fi,Documentary,War,Musical,Mystery,Film-Noir,Western,node_id,Director,Actor
44,42,To Die For,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6082,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck"
45,43,How to Make an American Quilt,1995,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6083,Jocelyn Moorhouse,"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin"
46,44,Seven (Se7en),1995,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,6084,,
47,45,Pocahontas,1995,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,6085,"Mike Gabriel, Eric Goldberg","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly"
48,46,When Night Is Falling,1995,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6086,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox"
49,47,"Usual Suspects, The",1995,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,6087,,
51,48,Mighty Aphrodite,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6088,Woody Allen,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena"
53,49,"Big Green, The",1995,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6089,,
54,50,Georgia,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6090,Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich"
56,51,Home for the Holidays,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6091,Jodie Foster,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning"
57,52,"Postino, Il (The Postman)",1994,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6092,,
59,53,"Indian in the Cupboard, The",1995,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6093,,
60,54,Eye for an Eye,1996,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,6094,John Schlesinger,"Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle"
61,55,Mr. Holland's Opus,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6095,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis"
62,56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6096,Paris Barclay,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer"
63,57,Two if by Sea,1996,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6097,Bill Bennett,"Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto"
64,58,Bio-Dome,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6098,Jason Bloom,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West"
65,59,Lawnmower Man 2: Beyond Cyberspace,1996,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,6099,Farhad Mann,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget"
67,60,French Twist (Gazon maudit),1995,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6100,,
68,61,Friday,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6101,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister"
69,62,From Dusk Till Dawn,1996,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,6102,Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis"
70,63,Fair Game,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6103,Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald"
71,64,Kicking and Screaming,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6104,Noah Baumbach,"Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach"
72,65,"Misérables, Les",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6105,,
73,66,Bed of Roses,1996,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6106,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin"
74,67,Big Bully,1996,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6107,Steve Miner,"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane"
75,68,Screamers,1995,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,6108,Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer"
76,69,Nico Icon,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6109,Susanne Ofteringer,"Nico, Tina Aumont, Christian Päffgen, Edith Boulogne"
77,70,"Crossing Guard, The",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6110,,
78,71,"Juror, The",1996,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,6111,,
79,72,"White Balloon, The (Badkonake Sefid )",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6112,,
80,73,Things to Do in Denver when You're Dead,1995,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,6113,Gary Fleder,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn"
81,74,Antonia's Line (Antonia),1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6114,,
82,75,Once Upon a Time... When We Were Colored,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6115,Tim Reid,"Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly"
83,76,Last Summer in the Hamptons,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6116,Henry Jaglom,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher"
84,77,Angels and Insects,1995,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6117,Philip Haas,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp"
85,78,White Squall,1996,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,6118,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf"
86,79,Dunston Checks In,1996,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6119,Ken Kwapis,"Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett"
87,80,Black Sheep,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6120,Penelope Spheeris,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole"
88,81,Nick of Time,1995,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,6121,John Badham,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken"
90,82,Mary Reilly,1996,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,6122,Stephen Frears,"Julia Roberts, John Malkovich, George Cole, Michael Gambon"
91,83,Vampire in Brooklyn,1995,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6123,Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison"
92,84,Beautiful Girls,1996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6124,Ted Demme,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly"
93,85,Broken Arrow,1996,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,6125,John Woo,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo"
94,86,In the Bleak Midwinter,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6126,,
95,87,"Hate (Haine, La)",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6127,,
97,88,Heidi Fleiss: Hollywood Madam,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6128,Nick Broomfield,"Nick Broomfield, Nina Xining Zuo, Madam Alex, Corinne Bohrer"
98,89,City Hall,1996,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,6129,Harold Becker,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello"
99,90,Bottle Rocket,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6130,Wes Anderson,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler"
100,91,Mr. Wrong,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6131,Nick Castle,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell"
101,92,Unforgettable,1996,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6132,John Dahl,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald"
102,93,Happy Gilmore,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6133,Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay"
103,94,"Bridges of Madison County, The",1995,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6134,,
104,95,Nobody Loves Me (Keiner liebt mich),1994,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6135,,
105,96,Muppet Treasure Island,1996,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,6136,"Brian Henson, David Lane","Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop"
108,97,Braveheart,1995,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,6137,Mel Gibson,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo"
109,98,Taxi Driver,1976,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,6138,Martin Scorsese,"Diahnne Abbott, Robinson Frank Adu, Victor Argo, Gino Ardito"
110,99,Rumble in the Bronx,1995,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,6139,Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung"
111,100,Before and After,1996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,6140,Barbet Schroeder,"Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon"
112,101,Margaret's Museum,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6141,Mort Ransen,"Helena Bonham Carter, Clive Russell, Craig Olejnik, Kate Nelligan"
114,102,Anne Frank Remembered,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6142,Jon Blair,"Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close, Rose De Liema"
115,103,"Young Poisoner's Handbook, The",1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6143,,
116,104,If Lucy Fell,1996,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6144,Eric Schaeffer,"Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson"
117,105,"Steal Big, Steal Little",1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6145,Andrew Davis,"Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano"
119,106,"Boys of St. Vincent, The",1993,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6146,,
120,107,Boomerang,1992,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6147,Reginald Hudlin,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier"
121,108,Chungking Express,1994,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,6148,Kar-Wai Wong,"Brigitte Lin, Tony Chiu-Wai Leung, Faye Wong, Takeshi Kaneshiro"
122,109,"Star Maker, The (Uomo delle stelle, L')",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6149,,
123,110,Flirting With Disaster,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6150,David O. Russell,"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore"
124,111,"NeverEnding Story III, The",1994,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6151,,
126,112,Jupiter's Wife,1994,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6152,,
127,113,Pie in the Sky,1995,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6153,Bryan Gordon,"Josh Charles, Anne Heche, John Goodman, Christine Lahti"
129,114,Frankie Starlight,1995,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6154,Michael Lindsay-Hogg,"Corban Walker, Niall Toibin, Owen Roe, Gabriel Byrne"
130,115,Jade,1995,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6155,William Friedkin,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna"
133,116,Down Periscope,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6156,David S. Ward,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton"
135,117,Man of the Year,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6157,Dirk Shafer,"Vivian Paxton, Claudette Sutherland, Michael Ornstein, Cal Bartlett"
138,118,Up Close and Personal,1996,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,6158,Steve Drake,"Johnnie Black, Paul Cox, John Decker, Steve Drake"
139,119,"Birdcage, The",1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6159,,
142,120,"Brothers McMullen, The",1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6160,,
143,121,Bad Boys,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6161,Michael Bay,"Lisa Boyle, Michael Taliferro, Emmanuel Xuereb, Tchéky Karyo"
144,122,"Amazing Panda Adventure, The",1995,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6162,,
145,123,"Basketball Diaries, The",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6163,,
146,124,"Awfully Big Adventure, An",1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6164,,
147,125,Amateur,1994,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,6165,Hal Hartley,"Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young"
148,126,Apollo 13,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6166,Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise"
149,127,Rob Roy,1995,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,6167,Michael Caton-Jones,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth"
150,128,"Addiction, The",1995,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6168,,
151,129,Batman Forever,1995,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,6169,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman"
152,130,Belle de jour,1967,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6170,Luis Buñuel,"Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page"
153,131,Beyond Rangoon,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,6171,John Boorman,"Patricia Arquette, U Aung Ko, Frances McDormand, Spalding Gray"
154,132,Blue in the Face,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6172,"Paul Auster, Wayne Wang, Harvey Wang","Lou Reed, Michael J. Fox, Roseanne Barr, Mel Gorham"
155,133,Canadian Bacon,1994,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,6173,,
156,134,Casper,1995,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6174,Brad Silberling,"Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty"
157,135,Clockers,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6175,Spike Lee,"Harvey Keitel, John Turturro, Delroy Lindo, Mekhi Phifer"
158,136,Congo,1995,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,6176,Frank Marshall,"Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry"
159,137,Crimson Tide,1995,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,6177,Tony Scott,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza"
160,138,Crumb,1994,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6178,Terry Zwigoff,"Robert Crumb, Aline Kominsky-Crumb, Charles Crumb, Maxon Crumb"
161,139,Desperado,1995,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,6179,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin"
162,140,Devil in a Blue Dress,1995,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,6180,Carl Franklin,"Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle"
163,141,Die Hard: With a Vengeance,1995,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,6181,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"
164,142,"Doom Generation, The",1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6182,,
166,143,First Knight,1995,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,6183,Jerry Zucker,"Sean Connery, Richard Gere, Julia Ormond, Ben Cross"
167,144,Free Willy 2: The Adventure Home,1995,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,6184,Dwight H. Little,"Jason James Richter, Francis Capra, Mary Kate Schellhardt, August Schellenberg"
168,145,Hackers,1995,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,6185,Iain Softley,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard"
169,146,Jeffrey,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6186,Christopher Ashley,"Steven Weber, Peter Jacobson, Tom Cayler, David Thornton"
170,147,Johnny Mnemonic,1995,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,6187,Robert Longo,"Keanu Reeves, Dina Meyer, Ice-T, Takeshi Kitano"
171,148,Judge Dredd,1995,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6188,Danny Cannon,"Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow"
172,149,Jury Duty,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6189,John Fortenberry,"Pauly Shore, Tia Carrere, Stanley Tucci, Brian Doyle-Murray"
173,150,Kids,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6190,Larry Clark,"Leo Fitzpatrick, Sarah Henderson, Justin Pierce, Joseph Chan"
